فناوری اطلاعات پارسا , IT Parsa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,itparsa.com,تاسیس در  ۱۳۸۶
اسرا پرواز (ایوار) , Eavar,۴,گردشگری و هتل‌ها,۵۱ تا ۲۰۰ نفر,eavar.com,None
فناوران سپهر ماهان , .Sepehr Mahan Tech Co,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,sepehrmahan.com,تاسیس در  ۱۳۹۴
 سپنتا  , Sepanta,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,e-sepanta.ir,تاسیس در  ۱۳۸۹
فناپ پرداخت , Fanap Payment,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,fanappayment.ir,None
ایواک , eWalk entertainments,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,ewalk.ir,None
نیلین , NiliN,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,nilin.co,None
ایران رنتر , Iranrenter,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,iranrenter.com,None
الوپیک , AloPeyk,۶,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,alopeyk.com,تاسیس در  ۱۳۹۵
مثبت سبز , Mosbate Sabz,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.mosbatesabz.com,تاسیس در  ۱۳۹۴
نیک مدرن , Nik Modern,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,nikmodern.com,None
تکرا  , Techera,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,techrato.com,None
پیشگامان فناوری و دانش آرامیس (تپ سی) , TAP30,۴,کامپیوتر، فناوری اطلاعات و اینترنت,۵۰۱ تا ۱۰۰۰ نفر,tap30.ir,تاسیس در  ۱۳۹۵
جابینجا , Jobinja,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,jobinja.ir,None
ایران مدرن , Iranmodern,۰,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,iranmodern.com,تاسیس در  ۱۳۸۴
فالنیک (ایران اچ پی) , Falnic-IranHP,۵۷,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,falnic.com,تاسیس در  ۱۳۷۴
 پارس فناوران مبتکر , PFM,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,pfm.ir,تاسیس در  ۱۳۸۴
نیوُ , Nivo,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,nivo.ir,تاسیس در  ۱۳۹۳
پرشیا شبکه , Persia BME,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,persiabme.ir,تاسیس در  ۱۳۸۱
داده محاسب آریا گستر , Dedah mohaseb,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ره رایان , Rahrayan,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
اسنپ فود , Snappfood,۲۵,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,snappfood.ir,تاسیس در  ۱۳۸۸
تجارت سبز , Tejarat Sabz,۱,معماری و عمران,۱۱ تا ۵۰ نفر,ntsi.ir,None
مدکده , Med Kade,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,medkadeh.com,None
خدمات مسافرتی و جهانگردی سرزمین چهارفصل  , Chaharfasl Travel Agancy,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,www.4season.net,None
هلدینگ سرمایه گذاری یاسین , Yasin Holding,۱,خدمات درمانی، پزشکی و سلامت,۵۱ تا ۲۰۰ نفر,None,None
زرین‌پال , ZarinPal,۳,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.zarinpal.com,تاسیس در  ۱۳۸۹
کافه‌بازار , CafeBazaar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,cafebazaar.ir,None
فناوری اطلاعات حامیان , Tmic,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,tmicto.tehran.ir,None
شرکت توسعه فناوری اطلاعات خوارزمی , Kharazmi IT development co.,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,www.kharazmico.com,None
راهبین گشت , rahbingasht,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,rahbingasht.com,None
داده پردازی تونا , Tuna Dataset,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,emam8.com,None
برنامه نویسی متلب و هوش مصنوعی , Matlab24,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,matlab24.ir,None
آرتا رهپو مشکات , Arta Rahpoo Meshkat,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۱۱ تا ۵۰ نفر,None,None
مرکز درمان جامع هموفیلی ایران , Iranian comprehensive hemophilia care center,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,www.irchcc.ir,None
پیشگامان پارسه , Pishgaman Parseh,۱,رسانه و انتشارات,۱۱ تا ۵۰ نفر,None,None
گروه نرم افزار روناک  , Ronak Software Group,۵,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,nested.me,تاسیس در  ۱۳۹۵
عالی دوخت به باف پوشان , Ali Dookht Beh Baf Pooshan,۱,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,None,None
فناپ , FANAP,۱۳,کامپیوتر، فناوری اطلاعات و اینترنت,بیش از ۱۰۰۰ نفر,fanap.ir,تاسیس در  ۱۳۸۴
دفتر شما , Daftareshoma,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,daftareshoma.com,تاسیس در  ۱۳۸۳
توسعه الکترونیک ابتکار کیان , Kiaan,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.adstaak.com/,None
مرکز زبان خارجه گویش نوین , Gooyeshnovin English Language Institute,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,gnovin.com/,None
برتر اندیشه نوین , Bartar Andishe Novin,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ستاره سبز جویبار , GreenStar,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,www.gsbitumen.com,None
رهپویان صنعت فضاپویان , Rahpouyan sanat fazapouyan,۱,مخابرات و ارتباطات (تلکام),۵۱ تا ۲۰۰ نفر,None,None
کسب و کار نوین ایرانیان  , IMBCO,۱۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,netbarg.com,None
قوطی سازی آلومینیوم کاوه , KACC,۱,تولید و صنایع,۲۰۱ تا ۵۰۰ نفر,None,None
یارا  , Yara ,۸,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,yaramobile.com,تاسیس در  ۱۳۸۲
فناگستران نوین سبز , FanaGostaranNovinSabz,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
بلوط , Balout,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,baloutco.com,تاسیس در  ۱۳۹۰
فناوری هوشمند کیوان , Keyvan Intelligent Technology (KIT),۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
داده پردازی کاروتک , KaroTek IT,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
امیننس , Eminence,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,www.eminencepass.com,None
ارز گرام , Arzgram,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,arzgram.com,None
افرا ماینر , Afra Miner,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,aframiner.com,None
استودیو نما , Studio Namaa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,studionamaa.ir/,None
مجتمع فنی فلات قاره , Falat Ghareh,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,FalatGhareh.ir,None
ادرو , Adro,۴,تبلیغات، بازاریابی و برندسازی,۱۱ تا ۵۰ نفر,adro.co,None
آی تی سیم , Itsim,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
گروه پرداخت الکترونیک اکسین , Oxin Electronical Payment Group,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ایرانورم , Iran ORM,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
آسیا استیل کیان , Asia Steel Kian,۱,واردات و صادرات,۲ - ۱۰ نفر,asiasteel.ir/,None
هوا صنعت تهران , HAVA SANAT TEHRAN,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,WWW.HAVASANATCO.COM,None
کیمیا اکسیر مهرآوین , kimia exir mehravin,۱,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,iran-coating.com/,None
سامانه هوشمند مشاوره تخصصی آرین , Smart Arian Consultancy System,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
تدبیر ارتباطات پاسارگاد , Tadbir Ertebatat Pasargad,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
پارسی تک , parsytech,۱,معماری و عمران,۱۱ تا ۵۰ نفر,www.parsytech.ir,None
فروشگاه پارسا , Parsa,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,None,None
ریحون , Reyhoon,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.reyhoon.com,None
دینا استیل کاوه  , Dina Steel Kave,۱,تولید و صنایع,۵۱ تا ۲۰۰ نفر,None,None
ارتباطات ثابت پارسیان  , Iran SCP,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
رایان نیک تجهیز , Rayan Nik Tajhiz,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
علی بابا , Alibaba,۱۴,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,www.alibaba.ir,None
انجمن صنفی کارفرمایی فروشندگان کالای آرایشی، بهداشتی و عطریات , Efpacs,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,efpacs.ir,None
آژانس بازاریابی خلاق ثنانور  , Sana Noor,۵,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,sananoor.co,None
راهیان طب صبا , Rahyan Teb Saba(RTS),۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,bidarmed.com/,None
دیپلمات بتن کیش , Diplomat,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,None,None
سی اف تی , Cft,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
گلدیس آسانبر پارس , Goldis Asanbar Pars,۱,معماری و عمران,۱۱ تا ۵۰ نفر,None,None
آرتیمان , artiman,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
بليت مستر , Bilit Master,۱,تبلیغات، بازاریابی و برندسازی,۲ - ۱۰ نفر,bilitmaster.com,None
اگزریا | فضای نمایشگاهی دیجیتال  , EXAREA | Digital Exhibition Area,۱,رسانه و انتشارات,۲ - ۱۰ نفر,exarea.ir,None
موسسه خدمات دارویی رضوی , Razavi Pharmaceutical Service Institute,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۵۱ تا ۲۰۰ نفر,www.rpsi.ir,None
پرشین گرد , Persiangard,۱,گردشگری و هتل‌ها,۱۱ تا ۵۰ نفر,None,None
بهینه پرداز شکوفا  , Behine Pardaz Shekofa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,www.bpshco.com,None
اسمارت کرونا , Smart Corona,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.smartcorona.ir,None
اندیشه آگهی , Andisheh Agahi,۱,رسانه و انتشارات,۱۱ تا ۵۰ نفر,www.andishehagahi.com/,None
19کالا , 19Kala,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,19kala.com,None
درنیکا , Dornika,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,www.dornikaapp.ir,None
گل راد , Golrad,۱,کشاورزی,۲ - ۱۰ نفر,golrad.com,None
شرق سازه کویر , Shargh Sazeh Kavir,۱,معماری و عمران,۵۱ تا ۲۰۰ نفر,None,None
استدیو لیقه , Studio Liqeh,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
باسرگان , Basagan GmbH,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,www.basagan.de,None
بهین سافت , Behin Soft,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
طراحان آویژ فردانگر , tarahan avizh fardanegar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
سیرین پردازشگر  , Sirin pardezeshgar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آرمان رایان شریف , Arman Rayan Sharif,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,armansoft.ir,None
خدمات مسافرتی و گردشگری ماهرخ گشت ماهان , Mahrokh Gasht Mahan,۱,گردشگری و هتل‌ها,۲ - ۱۰ نفر,None,None
پی استار , PayStar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,paystar.ir,None
موبایل دولوپر , Devmobile,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,Devmobile.ir,None
طنین آوران آیین مدیا , Tanin Avaran Aiyn Media,۱,تولید و صنایع,۱۱ تا ۵۰ نفر,www.ZENDEHROODFOOD.COM,None
بادی فیت , Bodyfit,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,None,None
هزارویک , 1001 Engineering Co,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
مجتمع طراحی و چاپ پیشگامان , Pishgaman,۸,رسانه و انتشارات,۱۱ تا ۵۰ نفر,www.chap.center,None
اینتلیسا , Intelisa,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,innovation.net/,None
آیتو , Aito,۱,گردشگری و هتل‌ها,۱۱ تا ۵۰ نفر,None,None
پاسکال فرانش گستر , PFG,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
سازگان گستر , Sazgangostar,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,sazgan.com,None
بهسازان پارت , Behsazan Part,۱,تولید و صنایع,۲ - ۱۰ نفر,None,None
هوشمند پرداز شرق , HPHS,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
بلوبیت سافت , BlueBit Soft,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,bluebitsoft.de,None
آیتی بیوتیک , Itbiotic,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آنالیکا , Analyca,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,analyca.net,None
لارامب , Laramob,۱,واردات و صادرات,۵۱ تا ۲۰۰ نفر,www.LARAMOB.com,None
ترجمتن , Tarjomatn,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.tarjomatn.com,None
نیلی کار , Nilicar,۱,خودروسازی,۱۱ تا ۵۰ نفر,www.nilicar.com,None
کیان دانش , Kian Danesh,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
آونگ تجارت پارسیان , Avang Tejarat Parsian,۱,معماری و عمران,۱۱ تا ۵۰ نفر,www.avangtejarat.ir,None
بهینه سازان صنعت وتاسیسات , behineh sazan,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
گیم اینو , Gameiino,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,gameiino.ir,None
رشت آنلاین , Rasht Online,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
شرکت وندا , Vandaw,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,vandaw.com,None
نمایه نگار , Namaye Negar,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,namayenegar.ir,None
لندهوم , Landhome,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,landhome.ir,None
اوستاتاپ , Ustatap,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
شفا الکترو پژواک , Shafa Electro Pejhvak,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,www.shepco.ir,None
الکترونیک پیک شریف  , Electronic Peyk Sharif,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
گل و گیاه ویولا , Viola,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,www.goleviola.com,None
گروه نرم افزاری نویان , Noyan Soft Group,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,noyanjob.ir,None
مولتی برند رنو , Multi Brand Reno,۴,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۱۱ تا ۵۰ نفر,MARKOMODE.COM,None
بری مدیا , Berry Media,۱,رسانه و انتشارات,۲ - ۱۰ نفر,None,None
آبانگان , Abanegan,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,abanegan.com,None
ارشیا نوین شرق , Arshia Novin,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,None,None
تجیزگران صنعت یکتا , Yektaip,۱,معماری و عمران,۲ - ۱۰ نفر,www.yektaip.ir,None
فارکو , Farco,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
نگین شیمی گستر , Negin Shimi Gostar,۱,کشاورزی,۱۱ تا ۵۰ نفر,None,None
ریحان سازه , Reyhan Sazeh,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
رایکا گستر سانا  , Rayka Gostar Sana,۱,خدمات درمانی، پزشکی و سلامت,۲ - ۱۰ نفر,www.sana-card.com,None
بهرادسازان , Behradsazan,۱,معماری و عمران,۲ - ۱۰ نفر,BEHRADCOMPANY.COM,None
آوا پزشک , Ava Pezeshk,۱,تولید و صنایع,۵۱ تا ۲۰۰ نفر,www.avapezeshk.com,None
اصناپ , Asnaap,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,asnaap.com,None
میم ست , Mimset,۱,فرهنگی و ورزشی,۲ - ۱۰ نفر,mimset.com,None
نواوران سراوا , Noavaran Sarava,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,None,None
فریت بار و کارگو سفیران , Safiran Freight and Cargo Services,۳,حمل و نقل، لاجستیک و انبارداری,۱۱ تا ۵۰ نفر,www.safirancargo.com,None
سینا گلدن لاین , Sina Golden Line,۲,نفت و گاز,۵۱ تا ۲۰۰ نفر,None,None
آدنیس آریا  , Adonis Aria,۱,نفت و گاز,۱۱ تا ۵۰ نفر,adonisaria.com,None
کلینیک چند تخصصی درد آرامش تهران , Aramesh Multidisciplinary Pain Clinic,۱,خدمات درمانی، پزشکی و سلامت,۱۱ تا ۵۰ نفر,www.Araamesh.com,None
هربال مارکت , Herbal Market,۱,کشاورزی,۲ - ۱۰ نفر,herbal-market.ir,None
اپادانا , Apadana,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
پیشرو گستر رایانه پارسیان , Pishro Gostar Rayaneh Parsian,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,pishrorayaneh.com,None
فراشبکه نوین , Fara Shabke,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,farashabakeh.ir,None
پیشتازان ارتباط مجازی , VCP,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,vcpco.com,None
کلینیکت , Clinicet,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.clinicet.com,None
آموزشگاه زبان آتی , Ati English School,۱,آموزش، مدارس و دانشگاه‌ها,۲ - ۱۰ نفر,None,None
موسسه حقوقی دادگان , Dadgan,۱,وکالت و حقوقی,۲ - ۱۰ نفر,None,None
ساواشی  , Sawashi,۱,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,۲ - ۱۰ نفر,None,None
سازه های نرم افزاری سورن , Sooren Software Structure,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,None,None
ملکام , Melcom,۱,املاک و مستغلات,۲ - ۱۰ نفر,melcom.ir,None
انرژی سولوشن , Energy Solution,۱,نفت و گاز,۲ - ۱۰ نفر,None,None
فیدار رایان نوین , Fidar Rayyan Noni,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۲ - ۱۰ نفر,www.fidarrayan.ir,None
آینده رباتیک سبز آرسام , ARSAM,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,arsamrobotics.com,None
دانش پارسیان , DAPA,۲,کامپیوتر، فناوری اطلاعات و اینترنت,۲۰۱ تا ۵۰۰ نفر,dapa.ir,None
احسان بنیان پارسیان , Ehsan Bonyan Parsian,۱,کامپیوتر، فناوری اطلاعات و اینترنت,۱۱ تا ۵۰ نفر,9am.ir,None
